Title,Summary,GSE,Taxon,Sequencing_type,Publish_date
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (SingleNuclei),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133546,Homo sapiens; Canis lupus familiaris; Mus musculus,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (SMART-Se2q),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133545,Mus musculus; Homo sapiens; Canis lupus familiaris,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (gmSCRB-seq),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133544,Canis lupus familiaris; Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (QUARTZ-Seq2),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133543,Canis lupus familiaris; Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (MARS-Seq),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133542,Canis lupus familiaris; Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (ICELL8),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133541,Canis lupus familiaris; Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (DROP-Seq),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133540,Mus musculus; Homo sapiens; Canis lupus familiaris,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (CEL-Seq2),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133539,Homo sapiens; Canis lupus familiaris; Mus musculus,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (C1HT small),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133538,Mus musculus; Homo sapiens; Canis lupus familiaris,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (C1HT),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133537,Mus musculus; Homo sapiens; Canis lupus familiaris,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (10X 8x 10K cells 25K reads),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133536,Mus musculus; Canis lupus familiaris; Homo sapiens,Expression profiling by high throughput sequencing,2019/12/10
Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (10X 2x 5K cells 250K reads),Single-cell RNA sequencing (scRNA-seq) is the leading technique for charting the molecular properties of individual cells. The latest methods are scalable to thousands of cells__ enabling in- depth characterization of sample composition without prior knowledge. However__ there are important differences between scRNA-seq techniques__ and it remains unclear which are the most suitable protocols for drawing cell atlases of tissues__ organs and organisms. We have generated benchmark datasets to systematically evaluate techniques in terms of their power to comprehensively describe cell types and states. We performed a multi-center study comparing 13 commonly used single-cell and single-nucleus RNA-seq protocols using a highly heterogeneous reference sample resource. Comparative and integrative analysis at cell type and state level revealed marked differences in protocol performance__ highlighting a series of key features for cell atlas projects. These should be considered when defining guidelines and standards for international consortia__ such as the Human Cell Atlas project.,GSE133535,Homo sapiens; Mus musculus; Canis lupus familiaris,Expression profiling by high throughput sequencing,2019/12/10
Single-cell__ multi-omic analysis identifies regulatory programs in mixed phenotype acute leukemia,We present a single-cell framework that integrates highly multiplexed protein quantification__ transcriptome profiling__ and chromatin accessibility analysis. Using this approach__ we establish a normal epigenetic baseline for healthy blood development__ which we then use to deconvolve aberrant molecular features within blood from mixed-phenotype acute leukemia (MPAL) patients.,GSE139369,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Other,2019/10/25
Nivolumab treatment for relapsed/refractory Epstein-Barr virus-associated hemophagocytic lymphohistocytosis in adults,Single cell RNA sequencing (scRNA-seq) was performed with peripheral blood cells before (Day 0__ T0)__ during nivolumab treatment (Day 7__ T1; Day 21__ T2)__ and when plasma EBV turned negative (Day 76__ T3) in 1 patient (patient 7). scRNA-seq libraries were generated following the recommended protocol of the 3’ scRNA-seq 10X genomics platform and using v2 chemistry__ and sequenced data was collected by illumina NovaSeq 6000 sequencing.,GSE138504,Homo sapiens,Expression profiling by high throughput sequencing,2019/10/07
Simultaneous measurement of DNA repair activities and mRNA abundance in single cells,New methods that measure the static abundance of DNA__ RNA__ and proteins in single cells are rapidly transforming biology. But these methods do not provide insight into dynamic cellular activities__ precluding a complete understanding of cellular heterogeneity. We developed a method to measure enzymatic activities in single cells and used it to simultaneously measure DNA repair enzyme activities and mRNA expression. By including polyadenylated DNA hairpin substrates with defined lesions in a single-cell mRNA sequencing experiment__ we measured repair activities by capturing repair intermediates and products catalyzed by activities in single cells.,GSE130117,synthetic construct; Homo sapiens,Expression profiling by high throughput sequencing; Other,2019/10/02
Resolving the fibrotic niche of human liver cirrhosis using single-cell transcriptomics,We profile the transcriptomes of over 100__000 human single cells__ yielding molecular definitions for non-parenchymal cell types present in healthy and cirrhotic human liver. We uncover a novel scar-associated TREM2+CD9+ macrophage subpopulation__ which expands in liver fibrosis__ differentiates from circulating monocytes__ has a corollary population in mouse liver fibrosis and is pro-fibrogenic. We also define novel ACKR1+ and PLVAP+ endothelial cells which expand in cirrhosis__ are topographically scar-restricted and enhance leucocyte transmigration. Multi-lineage ligand-receptor modelling of interactions between the novel scar-associated macrophages__ endothelial cells and PDGFRα+ collagen-producing mesenchymal cells reveals intra-scar activity of several pro-fibrogenic pathways including TNFRSF12A__ PDGFR and NOTCH signalling. Our work dissects unanticipated aspects of the cellular and molecular basis of human organ fibrosis at a single-cell level__ and provides the conceptual framework required to discover rational therapeutic targets in liver cirrhosis.,GSE136103,Mus musculus; Homo sapiens,Expression profiling by high throughput sequencing,2019/09/12
Transcriptome of activated human and mouse MAIT cells,We sought to describe in detail the consequences of MAIT cell activation using a transcriptomic approach to define the basic transcriptome of a MAIT cell in both humans and mice and to determine how this is modulated by activation. Fresh human peripheral blood cells were obtained from three donors. These were cultured for 6 hours with (‘stimulated’) or without (‘unstimulated’) 10 nM 5-OP-RU__ magnetically enriched on MR1-tetramer+ cells__ and flow-sorted for RNA sequencing of live CD3+TCR Valpha7.2+ MR1-5-OP-RU tetramer+ MAIT cells__ and of unstimulated naïve live CD8+CD45RA+ T cells as a comparator cell type. For the murine samples we included within the same sequencing experiment live pulmonary CD3+45.2+19-MR1-5-OP-RU tetramer+ MAIT cells which were magnetically enriched and flow-sorted from the lungs of mice 7 days after infection with 1x104 CFU L. longbeachae (‘acute’)__ or at least 12 weeks post infection (‘resolution’) or 7 days after a second intranasal infection with 2x104 CFU L. longbeachae in mice that had recovered from infection 12 weeks previously (‘reinfection’). Live CD3+CD45.2+CD19-CD8+CD44-CD62L+ naïve T cells from uninfected mice were used as a comparator cell type.,GSE123805,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,2019/09/10
Linked optical and gene expression profiling of single cells at high throughput,Single cell RNA sequencing has emerged as a powerful tool for characterizing cells__ but not all phenotypes of interest can be observed through gene expression alone. Linking sequencing with optical analysis has provided insight into the molecular basis behind cellular function__ but current approaches have limited throughput. Here__ we present a high throughput platform for linked optical and gene expression profiling of single cells. We demonstrate accurate fluorescence and gene expression measurements from thousands of cells in a single experiment and use the platform to characterize DNA and RNA changes in Jurkat cells through the cell-cycle. In addition to its scalability__ our integration of microfluidics and array-based molecular biology holds promise for comprehensive multi-omics profiling of single cells.,GSE136871,synthetic construct; Mus musculus; Homo sapiens,Expression profiling by high throughput sequencing,2019/09/05
Single-Cell Analysis of Human Mononuclear Phagocytes Reveals Subset-Defining Markers and Identifies Circulating Inflammatory Dendritic Cells,This SuperSeries is composed of the SubSeries listed below.,GSE136732,Homo sapiens,Expression profiling by high throughput sequencing,2019/09/02
Single-cell analysis of Crohn’s disease lesions identifies a pathogenic cellular module associated with resistance to anti-TNF therapy,Clinical benefits of cytokine blockade in ileal Crohn’s disease (iCD) are limited to a subset of patients. Here we applied single cell technologies to iCD lesions to address whether cellular heterogeneity contributes to treatment resistance. We found that a subset of patients expressed a unique cellular module in inflamed tissues that consisted of IgG plasma cells__ inflammatory mononuclear phagocytes__ activated T cells and stromal cells__ which we named the GIMATS module. Analysis of ligand-receptor interaction pairs identified a distinct connectivity network that likely drives the GIMATS module. Strikingly__ the GIMATS module was also present in a subset of patients in 4 independent iCD cohorts (n=441)__ and its presence at diagnosis correlated with failure to achieve corticosteroid-free durable remission upon anti-TNF therapy. These results emphasize the limitations of current diagnostic assays and the potential for single cell mapping tools to identify novel biomarkers of treatment response and tailored therapeutic opportunities,GSE134809,Homo sapiens,Expression profiling by high throughput sequencing,2019/08/29
Single cell RNA sequencing analysis of CD8+ T cell subsets following DENV-vaccine administration,PBMC-derived CD8 T cell activation and gene expression profiles were assessed 14 days following a single dose of a candidate live-attenuated tetravalent denge virus vaccine (DENVax). Three distinct populations of CD8+ T cells were isolated by flow cytometric sorting: 1) CD3+ CD8+ CD38- HLA-DR- T cells__ 2) CD3+ CD8+ CD38+ HLA-DR+ T cells__ and 3) CD3+ CD8+ CD71+ HLA-DR+ T cells,GSE132950,Homo sapiens,Expression profiling by high throughput sequencing,2019/08/05
Single-cell profiling of cutaneous T-cell lymphoma after treatment with vorinostat and photophoresis.,Cutaneous T cell lymphomas (CTCL)__ encompassing a spectrum of T-cell lymphoproliferative disorders involving the skin__ have collectively increased in incidence over the last 40 years. Sézary syndrome (SS) is an aggressive form of CTCL characterized by significant presence of malignant cells in both the blood and skin. The guarded prognosis for SS reflects a lack of reliably effective therapy__ due in part to an incomplete understanding of disease pathogenesis. Using single-cell sequencing of RNA at the induction of vorinostat and photopherisis treatment (GSE122703) and at the progression on therapy. We identifed thea decrease conventional SS cell markers on therapy and an increase in the number of cells expressing FOXP3+.,GSE124898,Homo sapiens,Expression profiling by high throughput sequencing,2019/06/25
Single-cell RNA-sequencing of skin__ fresh blood__ and cultured peripheral blood mononuclear cells from a patient with drug-induced hypersensitivity syndrome and healthy volunteers,Purpose: Determine new therapeutic targets for a refractory drug-induced hypersensitivity syndrome/DRESS using single cell transcriptomic analysis. Methods: Skin cells were dissociated from skin biopsies of a patient with DRESS and 5 healthy volunteers using enzymatic digestion__ then viable skin cells were sorted using flow cytometry. Peripheral blood mononuclear cells (PBMCs) were isolated from peripheral blood using Ficoll-paque density separation. PBMCs were cultured with or without medications for 4 days. In detail__ 200__000 PBMCs were cultivated in 200ul of RPMI-1640 supplemented with 10% human AB serum with (PBMC_T4_BACT) or without (PBMC_T4_CTRL) 48 ug/mL sulfamethoxazole/trimethoprim (SMX-TMP). For the in vitro therapeutic experiments__ PBMCs were cultured in the presence of SMX-TMP with (DRESS_Day4_TOFA) or without (DRESS_Day4_BACT) tofacitinib. The patient was treated with 10mg/d of tofacitinib__ a JAK3 inhibitor. The freshly isolated PBMCs were collected again two weeks after initiation of intervention (PBMC_POST2W). Single cells from the skin__ freshly isolated PBMCs__ and culture PBMCs were captured using droplet based single-cell approach (10x Genomics) and library were prepared. Results: The lymphocytes in skin and PBMCs exhibited upregulation of skin-homing chemokine receptors__ CCR4 and CCR10__ and JAK3 and STAT1. Treatment with tofacitinib dramatically extinguished skin inflammation in a chronic refractory case of DiHS/DRESS. Conclusions: A successful intervention with tofacitinib in a refractory case of DiHS/DRESS was guided by the use of scRNAseq__ which demonstrated aberrant activity in the JAK-STAT pathway.,GSE132802,Homo sapiens,Expression profiling by high throughput sequencing,2019/06/17
scRNA-seq analysis of the dual expressors__ B cells and T cells of a diabetes patient,We identified a rare subset of autoreactive lymphocytes with a hybrid phenotype of T and B cells including coexpression of TCR and BCR and key lineage markers of both cell types (hereafter referred to as dual expressers or DEs). To investigate the dual phenotype of DEs at single cell resolution__ we examined their transcriptomes using single cell RNA sequencing (scRNA-seq). We sorted individual DEs__ Bcon and Tcon cells from PBMCs of one type I diabetes patient and analyzed the transcriptomes of 34 DEs__ 20 Bcon __ and 23 Tcon using the plate-based SMART-seq2 protocol (Tirosh and Suva__ 2018; Tirosh et al.__ 2016). Our results show that DEs have uniquely expressed genes along with genes encoding lineage markers of T and B cells.,GSE129112,Homo sapiens,Expression profiling by high throughput sequencing,2019/06/02
Systematic comparative analysis of single cell RNA-sequencing methods,A multitude of single-cell RNA sequencing methods have been developed in recent years__ with dramatic advances in scale and power__ and enabling major discoveries and large scale cell mapping efforts. However__ these methods have not been systematically and comprehensively benchmarked. Here__ we directly compare seven methods for single cell and/or single nucleus profiling from three types of samples – cell lines__ peripheral blood mononuclear cells and brain tissue – generating 36 libraries in six separate experiments in a single center. To analyze these datasets__ we developed and applied scumi__ a flexible computational pipeline that can be used for any scRNA-seq method. We evaluated the methods for both basic performance and for their ability to recover known biological information in the samples. Our study will help guide experiments with the methods in this study as well as serve as a benchmark for future studies and for computational algorithm development.,GSE132044,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,2019/06/01
Single-Cell Genotyping of Transcriptomes,This SuperSeries is composed of the SubSeries listed below.,GSE117826,Mus musculus; Homo sapiens,Expression profiling by high throughput sequencing; Other,2019/06/01
Amplicon of Single-Cell Genotyping of Transcriptomes,Somatic cancer driver mutations may result in distinctly diverging phenotypic outputs. Thus__ a common driver lesion may result in cancer subtypes with distinct clinical presentations and outcomes. The diverging phenotypic outputs of mutations result from the superimposition of the mutations with distinct progenitor cell populations that have differing lineage potential. However__ our ability to test this hypothesis has been challenged by currently available tools. For example__ flow cytometry is limited in its inability to resolve lineage commitment of early progenitors. Single-cell RNA sequencing (scRNA-seq) may provide higher resolution mapping of the early progenitor populations as long as high throughput technology is available to sequence thousands of single cells. Nevertheless__ high throughput scRNA-seq is limited in its inability to jointly and robustly detect the mutational status and the transcriptional profile from the same cell. To overcome these limitations__ we propose the use of scRNA-seq combined with targeted mutation sequencing from transcrptional read-outs.,GSE117825,Homo sapiens; Mus musculus,Other,2019/06/01
RNA-seq of Single-Cell Genotyping of Transcriptomes,Somatic cancer driver mutations may result in distinctly diverging phenotypic outputs. Thus__ a common driver lesion may result in cancer subtypes with distinct clinical presentations and outcomes. The diverging phenotypic outputs of mutations result from the superimposition of the mutations with distinct progenitor cell populations that have differing lineage potential. However__ our ability to test this hypothesis has been challenged by currently available tools. For example__ flow cytometry is limited in its inability to resolve lineage commitment of early progenitors. Single-cell RNA sequencing (scRNA-seq) may provide higher resolution mapping of the early progenitor populations as long as high throughput technology is available to sequence thousands of single cells. Nevertheless__ high throughput scRNA-seq is limited in its inability to jointly and robustly detect the mutational status and the transcriptional profile from the same cell. To overcome these limitations__ we propose the use of scRNA-seq combined with targeted mutation sequencing from transcrptional read-outs.,GSE117824,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,2019/06/01
Ultra-High Throughput Single Cell Analysis of Proteins and RNAs by Split-pool Synthesis,We report a method enabling simultaneous__ ultra-high throughput single-cell-barcoding__ of millions of cells for targeted single cell analysis of proteins and RNAs. This method termed Quantum Barcoding (QBC) circumvents the need to isolate single cells by building cell-specific oligo barcodes dynamically within each cell. With minimal instrumentation (four 96-well plates and a multichannel pipette) cell-specific codes are added to each tagged molecule within cells. This is accomplished through sequential rounds of the well-established process of classic “split-pool synthesis”. We demonstrate the utility of this currently research use only technology in multiple model systems.,GSE130784,Mus musculus; Homo sapiens,Other; Expression profiling by high throughput sequencing,2019/05/07
High-throughput tissue dissection and cell purification with digital cytometry [scRNA-Seq],Tissue composition is a major determinant of phenotypic variation and a key factor influencing disease outcomes. Although scRNA-Seq has emerged as a powerful technique for characterizing cellular heterogeneity__ it is currently impractical for large sample cohorts and cannot be applied to fixed specimens collected as part of routine clinical care. To overcome these challenges__ we extended Cell type Identification By Estimating Relative Subsets Of RNA Transcripts (CIBERSORT) into a new platform for in silico cytometry. Our approach enables the simultaneous inference of cell type abundance and cell type-specific gene expression profiles (GEPs) from bulk tissue transcriptomes. The utility of this integrated framework__ called CIBERSORTx__ is demonstrated in multiple tumor types__ including melanoma__ where single cell reference profiles are used to dissect primary clinical specimens__ revealing cell type-specific signatures of driver mutations and immunotherapy response. We anticipate that digital cytometry will augment single cell profiling efforts__ enabling cost-effective__ high throughput tissue characterization without the need for antibodies__ disaggregation__ or viable cells.,GSE127471,Homo sapiens,Expression profiling by high throughput sequencing,2019/05/06
Droplet-based combinatorial indexing for massive-scale single-cell chromatin accessibility,This SuperSeries is composed of the SubSeries listed below.,GSE123581,Homo sapiens; Mus musculus,Genome binding/occupancy profiling by high throughput sequencing,2019/05/02
High-throughput combinatorial indexing enables scalable single-cell chromatin accessibility profiling [PBMC],While recent technical advancements have facilitated the mapping of epigenomes at the single-cell resolution__ the throughput and quality of these methods have limited the widespread application of these technologies. Here__ we describe a high-throughput platform for single-cell assay for transposase accessible chromatin (scATAC-seq) using droplet microfluidics that yields essential qualities for high-throughput profiling__ including improvements in per-cell library complexity and throughput. This approach enables robust cell-typing of complex tissues and reveals a de novo atlas of cellular and epigenomic diversity across many cell types and cell stages.,GSE123577,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,2019/05/02
Single cell RNAseq of human TCRVdelta 1 and TCRVdelta 2 gammadelta T lymphocytes purified from healthy adults blood,γδ T lymphocytes represent ~1% of human PBMC and even more cells in most tissues of vertebrates. Although they have important anticancer functions__ most current scRNA-Seq studies do not identify γδ T lymphocytes since their transcriptomes at the single cell level are unknown. Here we show that high resolution clustering of large scRNA-Seq data sets and a combination of gene signatures allow the specific detection of human γδ T lymphocytes and identification of their TCRVδ1 and TCRVδ2 subsets in large data sets from complex cell mixtures. In t-SNE plots from blood and tumor samples__ the few γδ T lymphocytes appear collectively embedded between cytotoxic CD8 T and NK cells. Their TCRVδ1 and TCRVδ2 subsets form close yet distinct sub-clusters respectively neighbouring NK and CD8 T cells owing to expression of shared and distinct cytotoxic maturation genes. Similar pseudo-time maturation trajectories of TCRVδ1 and TCRVδ2 γδ T lymphocytes were discovered__ unveiling in both subsets an unattended pool of TEMRA cells with preserved proliferative capacity__ a finding confirmed by in vitro proliferation assays. Overall__ the single cell transcriptomes of thousands of individual gd T lymphocytes from different CMV+ and CMV- donors reflect cytotoxic maturation stages driven by the immunological history of donors. This landmark study establishes the rationale for identification__ subtyping and deep characterization of human γδ T lymphocytes in further scRNA-Seq studies of complex tissues in physiological and disease conditions.,GSE128223,Homo sapiens,Expression profiling by high throughput sequencing,2019/05/01
Massively parallel single-cell chromatin landscapes of human immune cell development and intratumoral T cell exhaustion,Understanding complex tissues requires single-cell deconstruction of gene regulation with precision and scale. Here we present a massively parallel droplet-based platform for mapping transposase-accessible chromatin in tens of thousands of single cells per sample (scATAC-seq). We obtain and analyze chromatin profiles of over 200__000 single cells in two primary human systems. In blood__ scATAC-seq allows marker-free identification of cell type-specific cis- and trans-regulatory elements__ mapping of disease-associated enhancer activity__ and reconstruction of trajectories of differentiation from progenitors to diverse and rare immune cell types. In basal cell carcinoma__ scATAC-seq reveals regulatory landscapes of malignant__ stromal__ and immune cell types in the tumor microenvironment. Moreover__ scATAC-seq of serial tumor biopsies before and after PD-1 blockade allows identification of chromatin regulators and differentiation trajectories of therapy-responsive intratumoral T cell subsets__ revealing a shared regulatory program driving CD8+ T cell exhaustion and CD4+ T follicular helper cell development in association with clinical response. We anticipate that droplet-based single-cell chromatin accessibility will provide a broadly applicable means of identifying regulatory factors and elements that underlie cell type and function.,GSE129785,Mus musculus; Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,2019/04/16
Single-cell profiling of cutaneous T-cell lymphoma,This SuperSeries is composed of the SubSeries listed below.,GSE124899,Homo sapiens,Expression profiling by high throughput sequencing,2019/03/25
